id,col1,col2,col3,col4,className,classId,cluster_label
1,,,,0.04,Iris-setosa,1,2
2,,,,0.04,Iris-setosa,1,2
3,,,,0.04,Iris-setosa,1,2
4,,,,0.04,Iris-setosa,1,2
5,,,,0.04,Iris-setosa,1,2
6,,,,0.04,Iris-setosa,1,2
7,,,,0.08,Iris-setosa,1,2
8,,,,0.08,Iris-setosa,1,2
9,,,,0.08,Iris-setosa,1,2
10,,,,0.08,Iris-setosa,1,2
11,,,,0.08,Iris-setosa,1,2
12,,,,0.08,Iris-setosa,1,2
13,,,,0.08,Iris-setosa,1,2
14,,,,0.08,Iris-setosa,1,2
15,,,,0.08,Iris-setosa,1,2
16,,,,0.08,Iris-setosa,1,2
17,,,,0.08,Iris-setosa,1,2
18,,,,0.08,Iris-setosa,1,2
19,,,,0.08,Iris-setosa,1,2
20,,,,0.08,Iris-setosa,1,2
21,,,,0.08,Iris-setosa,1,2
22,,,,0.08,Iris-setosa,1,2
23,,,,0.08,Iris-setosa,1,2
24,,,,0.08,Iris-setosa,1,2
25,,,,0.08,Iris-setosa,1,2
26,,,,0.08,Iris-setosa,1,2
27,,,,0.08,Iris-setosa,1,2
28,,,,0.08,Iris-setosa,1,2
29,,,,0.08,Iris-setosa,1,2
30,,,,0.08,Iris-setosa,1,2
31,,,,0.08,Iris-setosa,1,2
32,,,,0.08,Iris-setosa,1,2
33,,,,0.08,Iris-setosa,1,2
34,,,,0.08,Iris-setosa,1,2
35,,,,0.12,Iris-setosa,1,2
36,,,,0.12,Iris-setosa,1,2
37,,,,0.12,Iris-setosa,1,2
38,,,,0.12,Iris-setosa,1,2
39,,,,0.12,Iris-setosa,1,2
40,,,,0.12,Iris-setosa,1,2
41,,,,0.12,Iris-setosa,1,2
42,,,,0.16,Iris-setosa,1,2
43,,,,0.16,Iris-setosa,1,2
44,,,,0.16,Iris-setosa,1,2
45,,,,0.16,Iris-setosa,1,2
46,,,,0.16,Iris-setosa,1,2
47,,,,0.16,Iris-setosa,1,2
48,,,,0.16,Iris-setosa,1,2
49,,,,0.2,Iris-setosa,1,2
50,,,,0.24,Iris-setosa,1,2
51,,,,0.4,Iris-versicolor,2,2
52,,,,0.4,Iris-versicolor,2,2
53,,,,0.4,Iris-versicolor,2,2
54,,,,0.4,Iris-versicolor,2,2
55,,,,0.4,Iris-versicolor,2,2
56,,,,0.4,Iris-versicolor,2,2
57,,,,0.4,Iris-versicolor,2,2
58,,,,0.44,Iris-versicolor,2,2
59,,,,0.44,Iris-versicolor,2,2
60,,,,0.44,Iris-versicolor,2,2
61,,,,0.48,Iris-versicolor,2,2
62,,,,0.48,Iris-versicolor,2,2
63,,,,0.48,Iris-versicolor,2,2
64,,,,0.48,Iris-versicolor,2,2
65,,,,0.48,Iris-versicolor,2,2
66,,,,0.52,Iris-versicolor,2,0
67,,,,0.52,Iris-versicolor,2,0
68,,,,0.52,Iris-versicolor,2,0
69,,,,0.52,Iris-versicolor,2,0
70,,,,0.52,Iris-versicolor,2,0
71,,,,0.52,Iris-versicolor,2,0
72,,,,0.52,Iris-versicolor,2,0
73,,,,0.52,Iris-versicolor,2,0
